"","p-value","fold change"
"34149",0.497048510175791,-1.16132449463646
"34144",0.352999827221231,1.22222645844771
"34138",0.739773776904707,1.34852376502049
"34135",0.728986705114282,-1.05250772559477
"34128",0.216985241699427,2.28158936651584
"34113",0.200784284341352,-1.36200805597649
"34108",0.00386669138701717,-1.33140167778852
"34103",0.0293269091915402,1.68516644438338
"34089",0.0523475830793371,1.1890253313125
"34085",0.660768138210093,-1.0903843681095
"34083",0.92943402056843,-1.0149732739919
"34081",0.859847947955233,1.01422979659153
"34027",0.0192155570861632,-3.10485644380729
"34022",0.310545217167894,1.27987799242074
"34018",0.316351665496922,-1.19896556336667
"34017",0.916556212680474,-1.03789379766638
"34015",0.000777275605684831,1.72509396649143
"34014",0.321032947763811,-1.22837608884054
"34013",0.0647680092306502,-2.23110274071505
"34009",0.0413574172713791,1.20818579847081
"34007",0.181770386970344,-1.26574918914608
"34001",0.0353198062523146,1.45230642383035
"33999",0.258868316918563,1.0848701967905
"33997",0.706876149780044,1.04248410490251
"33993",0.592803421189582,-1.08631396700993
"33983",0.497056885342679,1.12767233046549
"33462",0.214451002914659,-1.74193237446726
"33410",0.830273607006918,1.02463827759487
"33282",0.635529461209251,1.05829090762487
"33142",0.312322097971325,1.13374839679729
"33006",0.618922077599583,1.13069984555337
"32536",0.27597092687507,-1.14175540047577
"32529",0.152585039276566,1.13811589834134
"32528",0.337551276740572,-1.22154582804743
"32247",0.00243036974947132,1.36623578912572
"32158",0.108751242850832,1.11601951391802
"32151",0.623571881296941,1.03671609398718
"32148",0.501505989603156,1.16009798501044
"32146",0.60161509823207,1.05477683139493
"31961",0.349192619322478,1.22941748131619
"31960",0.19476877913363,-1.20321327287295
"31935",0.114432478626086,-1.90955832038361
"31926",0.247374961376276,1.37738917011812
"31848",0.827053923071708,-1.05463853969005
"31764",0.488259200135731,1.10425506636075
"31695",0.805209272321734,-1.0180544447154
"31688",0.600022765855467,-1.13032767348173
"31664",0.26809950517712,1.15720919692662
"31659",0.664280649977899,-1.09224509468616
"31626",0.0895996642206867,1.13827024619053
"31581",0.768990089970575,1.0579151092032
"31572",0.279631410335674,1.22183940539713
"31564",0.729197542149282,-1.07482159593923
"31563",0.518578536645107,1.03562729813208
"31559",0.260116155501752,1.39594468533241
"31557",0.980495077677489,-1.00260615687633
"31556",0.00779938279263074,1.32116370281232
"31549",0.608538021915434,-1.1687584938844
"31408",0.864875396731431,1.01338089856038
"31359",0.559273913417873,1.0416189957979
"31288",0.346337749915528,1.2139490292636
"31285",0.463072612420495,-1.15678083253193
"31267",0.320536615791449,1.35843818443317
"31222",0.77450145801116,-1.13191441365472
"27147",0.285216908592106,-1.29089689462364
"26868",0.349184527171034,1.05885505618554
"23635",0.248768442840597,1.09849601164746
"22423",0.707501072704813,-1.0655107103707
"18242",0.770668915246207,-1.064600558665
"18241",0.409816190674655,-1.67915031583327
"18173",0.1948039124172,-1.31489706882547
"17664",0.307918045835467,1.12347971157226
"17651",0.0127889907838756,1.21310961032752
"17463",0.232681551403806,-1.16338664041657
"17334",0.91065664965405,-1.01389439503011
"17068",0.637812980316746,1.09084835277254
"16809",0.0302611017597069,1.2186160921929
"16747",0.613885111564295,-1.12808768930862
"14778",0.507525656069636,-1.10540281209331
"14736",0.435572610479143,-1.14873549789649
"14703",0.181552017783865,-1.22918531668201
"14698",0.375808023701975,-1.78149221596381
"12444",0.14186549256828,-1.2690730703693
"12390",0.252867069672939,-1.20465735967097
"12387",0.645202741272102,-1.05776048431964
"12046",0.0109491103979786,1.15365831023645
"11353",0.242145316600505,1.08347072572829
"10962",0.213595991084319,1.11807630822296
"10176",0.210379767850063,-1.11751206639968
"8240",0.505833315857464,1.06230252063548
"7408",0.0416587133014326,-1.63490921678178
"7402",0.0112148316224019,-1.82629437555286
"6104",0.450012241488407,-1.14293649308522
"5990",0.504482459404939,-1.05416345045389
"5900",0.756742716100585,1.02132687938437
"5483",0.0501646266497663,1.11164959104742
"5346",0.0379593692777266,1.16875240099446
"4976",0.161625713804469,-1.41895906965773
"4937",0.382690507326281,1.06083237328432
